Code,Fund_Name,latest_price,fund_house,currency,Fund_class_inception_date,Fund_size_Million_currency,Fund_size_Million_amount,Fund_size_Million_date,HSBC_risk_level,fiftytwoweek_range_currency,fiftytwoweek_range_min,fiftytwoweek_range_max,HSBC_investment_category,Investment_style,Investment_instrument,Annualised_return,Morningstar_rating_out_of_five,HSBC_initial_charge,Annual_management_fee_max,HSBC_min_investment_amount_unit,HSBC_min_investment_amount,HSBC_min_investment_amount_USD,Annualised_returns: 1 month,Annualised_returns: 3 month,Annualised_returns: 6 month,Annualised_returns: 1 year,Annualised_returns: 3 year,Annualised_returns: 5 year,Annualised_returns: 10 year,Asset allocation: Stock,Asset allocation: Bond,Asset allocation: Cash,Asset allocation: Cash & Equivalents,Asset allocation: Derivative,Asset allocation: Others,Financial Services,Real Estate,Corporate,Healthcare,Utilities,Basic Materials,Communication Services,Energy,Consumer Cyclical,Industrials,Securitized,Government,Consumer Defensive,Technology,United States,Latin America,Canada,United Kingdom,Europe - Emerging,Europe - ex Euro,Eurozone,Australasia,Asia - Developed,Asia - Emerging,Middle East,Japan,Africa,Equity_holdings_sector_max,Equity_holdings_country_max
U61710,BlackRock World Energy Fund (Class A2-EUR) U61710,15.97,BlackRock,EUR,2001-04-06,USD,2332.81,2021-12-31,5,EUR,9.79,17.03,Commodity Funds,Value,"Stock, Bond, Cash",0.0424,3.0,0.03,0.0175,EUR,850.0,952.0,0.0931,0.0562,0.3615,0.5657,0.0429,-0.019,-0.0149,0.9922,0.0001,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.0,0.9746,0.0,0.0,0.0,0.0,0.0083,0.0,0.4972,0.0,0.204,0.1158,0.011,0.0499,0.0944,0.02,0.0,0.0,0.0,0.0,0.0,Energy,United States
U43242,BlackRock World Energy Fund (Class A2) U43242,18.0,BlackRock,USD,2001-04-06,USD,2332.81,2021-12-31,5,USD,11.83,19.36,Commodity Funds,Value,"Stock, Bond, Cash",0.0398,3.0,0.03,0.0175,USD,1000.0,1000.0,0.0896,0.0256,0.3043,0.4563,0.0394,-0.0093,-0.0285,0.9922,0.0001,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093,0.0,0.9746,0.0,0.0,0.0,0.0,0.0083,0.0,0.4972,0.0,0.204,0.1158,0.011,0.0499,0.0944,0.02,0.0,0.0,0.0,0.0,0.0,Energy,United States
U62680,MRF-HSBC Jintrust Dynamic Strategy Mixed Sec Inv FD (Class H DIST CASH) U62680,3.0565,HSBC Jintrust Fund Management Company Limited,CNY,2016-06-27,USD,1290.87,2021-09-30,5,CNY,2.284,3.4235,Mutual Recognition of Funds - Equity/Mixed Asset,Blend,"Stock, Bond, Cash, Others",0.515,5.0,0.03,0.015,CNY,10000.0,1600.0,-0.0336,-0.0533999999999999,0.0287,0.2531,0.4511,0.2405999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Financial Services,United States
U62253,NINETY ONE GSF-GLOBAL NATURAL RESOURCES FUND (A) INCOME SHARES (CASH) U62253,12.18,Ninety One,USD,2008-01-31,USD,347.79,2022-01-25,5,USD,9.24,12.83,Commodity Funds,Value,"Stock, Cash, Others",0.1689,4.0,0.03,0.015,USD,1000.0,1000.0,0.0446,0.0012,0.1481,0.2757,0.1578999999999999,0.0753,0.01,0.9456,0.0,0.0177,0.0,0.0,0.0368,0.0,0.0,0.0,0.0,0.0089,0.4757,0.0,0.3794,0.0017,0.015,0.0,0.0,0.0557,0.0092,0.2134,0.0428,0.1145,0.1448,0.0146,0.177,0.1973,0.0335,0.0018,0.0056,0.0,0.0003,0.0,Basic Materials,United States
U62254,NINETY ONE GSF-GLOBAL NATURAL RESOURCES FUND (A) INCOME SHARES (UNIT) U62254,12.18,Ninety One,USD,2008-01-31,USD,347.79,2022-01-25,5,USD,9.24,12.83,Commodity Funds,Value,"Stock, Cash, Others",0.1689,4.0,0.03,0.015,USD,1000.0,1000.0,0.0446,0.0012,0.1481,0.2757,0.1578999999999999,0.0753,0.01,0.9456,0.0,0.0177,0.0,0.0,0.0368,0.0,0.0,0.0,0.0,0.0089,0.4757,0.0,0.3794,0.0017,0.015,0.0,0.0,0.0557,0.0092,0.2134,0.0428,0.1145,0.1448,0.0146,0.177,0.1973,0.0335,0.0018,0.0056,0.0,0.0003,0.0,Basic Materials,United States
U42568,Fidelity Funds - Global Financial Services Fund (Class A-ADIST Unit) U42568,48.32,Fidelity Investment Managers,EUR,2000-09-01,USD,2462.19,2021-12-31,5,EUR,37.54,52.01,Specialised Sector Equity,Blend,"Stock, Bond, Cash, Others",0.1694,4.0,0.03,0.015,EUR,850.0,952.0,-0.0272,-0.0623,0.0412,0.2502,0.1307,0.0827,0.1173,0.9605,0.0028,0.0356,0.0,0.0,0.0011,0.859,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0272,0.0145,0.0,0.0,0.0,0.0296,0.5624,0.0346,0.0,0.0757,0.0255,0.0367,0.1114,0.0,0.0516,0.0495,0.0,0.0084,0.0,Financial Services,United States
U61774,FIDELITY FUNDS - GLOBAL PROPERTY FUND (CLASS A-EUR-ADIST CASH) U61774,17.4,Fidelity Investment Managers,EUR,2005-12-05,USD,292.52,2021-12-31,4,EUR,14.34,18.49,Global Property,Blend,"Stock, Cash, Others",0.1159,3.0,0.03,0.015,EUR,850.0,952.0,-0.0365,0.0034999999999999,0.0014,0.2165,0.0641,0.0475,0.0778,0.9906,0.0,0.0093,0.0,0.0,0.0001,0.0,0.9906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6415,0.0,0.0,0.0618,0.0,0.0,0.1078,0.0305,0.0434,0.0286,0.0,0.0771,0.0,Real Estate,United States
U62464,HSBC GIF - Indian Equity (CLASS AD -HKD) U62464,14.162,HSBC Global Asset Management  (Hong Kong) Limited,HKD,2011-06-01,USD,1163.08,2022-01-25,5,HKD,11.194,15.219,Single Market Equity - Others,Blend,"Stock, Cash, Others",0.1338,2.0,0.03,0.015,HKD,10000.0,1300.0,0.003,-0.02,0.0953999999999999,0.2292,0.1387,0.1047,0.0673,1.0279,0.0,0.0076,0.0,0.0,0.0,0.2903,0.0384,0.0,0.0811,0.0139,0.1159,0.0186,0.0896,0.0891,0.063,0.0,0.0,0.0561,0.1718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0279,0.0,0.0,0.0,Financial Services,Asia - Emerging
U40088,HSBC Indian Equity Fund (Class AD) U40088,251.472,HSBC Global Asset Management  (Hong Kong) Limited,USD,1996-03-01,USD,1163.08,2022-01-25,5,USD,199.57,270.136,Single Market Equity - Others,Blend,"Stock, Cash, Others",0.1354,2.0,0.03,0.015,USD,1000.0,1000.0,0.0048,-0.0214,0.0931,0.2239999999999999,0.1416,0.1039,0.0669,1.0279,0.0,0.0076,0.0,0.0,0.0,0.2903,0.0384,0.0,0.0811,0.0139,0.1159,0.0186,0.0896,0.0891,0.063,0.0,0.0,0.0561,0.1718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0279,0.0,0.0,0.0,Financial Services,Asia - Emerging
U61709,BlackRock World Mining Fund (Class A2-EUR) U61709,55.91,BlackRock,EUR,2001-04-06,USD,6858.19,2021-12-31,5,EUR,44.0,60.81,Commodity Funds,Value,"Stock, Bond, Cash, Others",0.2313,3.0,0.03,0.0175,EUR,850.0,952.0,0.0242,0.0588999999999999,0.0593,0.2037,0.211,0.1088,0.0056999999999999,0.9847,0.0001,0.0102,0.0,0.0,0.005,0.0062,0.0,0.0,0.0,0.0,0.9731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1372,0.1626,0.2198,0.1837,0.0185,0.101,0.0,0.1132,0.0,0.0,0.0,0.0,0.0433,Basic Materials,Canada
